master_name,old_name,booth_rank,old_booth_rank,name_jw_score,name_lv_score,booth_score,average_score,matched_on
6,6,0.2204968944099379,0.23809523809523808,1.0,1.0,1.0,1.0,new_name
AJAB,AJAB,0.9736024844720497,0.9816849816849816,1.0,1.0,1.0,1.0,new_name
AJANIYA,AJANIYA,0.9130434782608695,0.9304029304029304,1.0,1.0,1.0,1.0,new_name
AKAUNA,AKAUNA,0.34006211180124224,0.3516483516483517,1.0,1.0,1.0,1.0,new_name
ALAMPUR,ALAMAPUR,0.17701863354037267,0.19047619047619047,0.975,0.875,1.0,0.95,new_name
AURANGABAD,AURANGABAD,0.5537911637173327,0.5238095238095237,1.0,1.0,1.0,1.0,new_name
BABHANADI,BABHANADI,0.07453416149068323,0.07692307692307693,1.0,1.0,1.0,1.0,new_name
BADWA,BADAVA,0.12267080745341616,0.13003663003663002,0.8755555555555556,0.6666666666666667,1.0,0.85,new_name
BAGAIYA,KATAIYA,0.21428571428571427,0.8772893772893773,0.8095238095238096,0.7142857142857143,1.0,0.84,new_name
BAGHOIKALA,BAGHOIKALA,0.2251552795031056,0.24175824175824176,1.0,1.0,1.0,1.0,new_name
BAHUAARA,BAHUARA,0.39751552795031053,0.6098901098901099,0.9464285714285714,0.875,1.0,0.94,new_name
BAHUARA,BAHUARA,0.6521739130434782,0.6098901098901099,1.0,1.0,1.0,1.0,new_name
BAJAR,BAJAR,0.8695652173913043,0.8901098901098901,1.0,1.0,1.0,1.0,new_name
BAJITAPUR,BAJITAPUR,0.35714285714285715,0.3663003663003663,1.0,1.0,1.0,1.0,new_name
BAKAN,BAKAN,0.1956521739130435,0.21245421245421245,1.0,1.0,1.0,1.0,new_name
BALAKARAMA,BALAKARMA,0.717391304347826,0.7435897435897436,0.9577777777777777,0.9,1.0,0.95,new_name
BALAPOKHAR,BALAPOKHAR,0.8152173913043479,0.8461538461538461,1.0,1.0,1.0,1.0,new_name
BANAHI,BANAHI,0.13664596273291926,0.14652014652014653,1.0,1.0,1.0,1.0,new_name
BARAI,BARAI,0.9580745341614907,0.9706959706959707,1.0,1.0,1.0,1.0,new_name
BARATAPUR,BARATAPUR,0.422360248447205,0.4358974358974359,1.0,1.0,1.0,1.0,new_name
BASADIHA,BASADIHA,0.7639751552795031,0.7948717948717948,1.0,1.0,1.0,1.0,new_name
BATAVA,BATAVA,0.09006211180124224,0.09523809523809523,1.0,1.0,1.0,1.0,new_name
BEDHANI,BEDHANI,0.9223602484472049,0.9395604395604396,1.0,1.0,1.0,1.0,new_name
BELA,BELA,0.4917184265010352,0.5091575091575091,1.0,1.0,1.0,1.0,new_name
BELASARA,BELASARA,0.7996894409937888,0.8333333333333334,1.0,1.0,1.0,1.0,new_name
BELI,BELI,0.2546583850931677,0.27472527472527475,1.0,1.0,1.0,1.0,new_name
BHAIROPUR,BHAIROPUR,0.6956521739130435,0.7216117216117216,1.0,1.0,1.0,1.0,new_name
BHALUHARA,BHALUHARA,0.7236024844720497,0.7509157509157509,1.0,1.0,1.0,1.0,new_name
BHARAVAR,BHARAVAR,0.38819875776397517,0.3992673992673993,1.0,1.0,1.0,1.0,new_name
BHARKUR,BHATAKUR,0.7018633540372671,0.8608058608058609,0.9083333333333333,0.75,1.0,0.89,new_name
BHARTHAULI,BHARATHAULI,0.06521739130434782,0.07142857142857142,0.9618181818181818,0.9090909090909091,1.0,0.96,new_name
BHATKUR,BHATAKUR,0.9891304347826086,0.8608058608058609,0.975,0.875,1.0,0.95,new_name
BHEDIYA,BHEDIYA,0.40993788819875776,0.42124542124542125,1.0,1.0,1.0,1.0,new_name
BIJAULI,BIJAULI,0.7267080745341615,0.7545787545787546,1.0,1.0,1.0,1.0,new_name
BIJOI,BIJOI,0.2795031055900621,0.2967032967032967,1.0,1.0,1.0,1.0,new_name
BISAINI,BISAINI,0.2981366459627329,0.315018315018315,1.0,1.0,1.0,1.0,new_name
CHAINPUR,CHAINAPUR,0.7888198757763976,0.8205128205128205,0.9777777777777777,0.8888888888888888,1.0,0.96,new_name
CHANDAULI,CHANDAULI,0.7111801242236024,0.73992673992674,1.0,1.0,1.0,1.0,new_name
